β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
1.1,28.21,27.846429520000004,27.183170105,19.4125,17.498062074919886,-3.981618348616059,9.449215711778512,546.8824964429668,136.99098200924396,250.61803282926914
1.1,28.15,27.7872028,27.125354075,23.94375,21.67377104338598,-4.462086220088697,10.371016812009762,669.883658588131,148.04202173588783,344.0547790617273
1.1,28.08,27.718104959999998,27.05790204,24.225,21.92839260883866,-4.564698807668718,10.827262308393145,678.6522120930823,153.15362618030878,349.01347615717003
1.1,28.14,27.777331679999996,27.115718070000003,24.587500000000002,21.36378850209354,-3.6769646915192435,11.229328601778048,686.1427960757296,155.8323715546441,366.77249522267533
1.1,28.12,27.757589439999997,27.096446060000005,25.05,21.2925,-3.529798352415437,12.067340497095548,699.4655146304303,161.5699192950428,378.9944032189924
1.1,28.23,27.866171760000004,27.202442115000004,25.5,21.675,-3.529283165540569,12.140272020814201,715.0883962999899,165.7426064286292,388.179060516311
1.1,36.66,36.18752592,35.32559433,26.0625,22.287012661836542,-4.278240263785818,13.435072067160684,955.0685100968082,233.91328979906996,480.3479604063179
1.1,47.91,47.29253591999999,46.16609995499999,26.887500000000003,23.613139409405584,-4.661145632904621,13.565932357259346,1292.8456945407531,320.1773905817486,656.2710265286615
1.1,49.64,49.00023968,47.83312882,27.8125,26.043173596347376,-6.45338649725991,13.106994035444002,1378.0147120958284,353.28790084897645,635.6459747456245
1.1,44.98,44.40029776,43.34275049,28.39375,24.667519456689224,-5.42246436762151,14.421057838374237,1258.3502594511597,324.7486465350324,570.9538531093667
1.1,40.02,39.504222240000004,38.563292010000005,28.55,24.267500000000002,-4.974454197238891,14.547923554651026,1118.6970947189272,287.1437713546549,541.4214898568137
1.1,37.64,37.154895679999996,36.26992282,28.675,24.37375,-5.122535013296782,14.82292910042189,1053.7351247283812,276.1909430929105,521.2389587752787
1.1,31.39,30.985445680000005,30.247419694999998,29.106250000000003,24.7403125,-4.662952668318215,14.606050431314216,897.0300077775711,227.0530074754621,449.7690940280132
1.1,31.06,30.65969872,29.92943153,29.900000000000002,25.96030040492869,-5.558641889624774,14.624975254426753,906.6285103992768,233.83243968670487,444.83506681218233
1.1,30.12,29.731813439999996,29.023647060000002,30.5375,25.956875,-5.6900135244191,16.021538023169096,900.3291562333246,244.31460849754623,425.0511390426516
1.1,32.06,31.64681072,30.89303203,30.8625,26.233125,-5.787024709919661,15.98554065136365,963.7212337041359,251.392388303941,457.1221612286133
1.1,31.63,31.22235255999999,30.478683815,31.212500000000002,26.530625,-5.814834173568716,16.69362920263095,965.7313243795304,257.7039795572099,449.8593938270331
1.1,38.13,37.63858056,36.742087065,31.69375,36.447812500000005,-8.992859347986185,-2.147251562500003,1167.259847226999,136.87827472913423,710.2996726166601
1.1,42.76,42.20890912,41.20355738,32.40625,27.5453125,-16.058339914315578,7.260620312499995,1235.193168054381,411.44276810229314,52.39106570733043
1.1,39.96,39.44499552,38.50547598,33.31875,28.762601137098788,-2.5202642099356183,7.157676862901216,1268.6445618358248,175.83565222784333,769.5376442265374
1.1,30.58,30.18588496,29.466903289999994,34.03125,28.9265625,-1.743279707231745,8.803203749999998,1005.6631505843237,124.36746580092087,670.5299998010481
1.1,28.7,28.330114400000003,27.655334349999997,34.06875,31.587657954989275,-3.741551769507404,5.1929645450107245,947.1780767158181,108.77796195027206,625.3731983665003
1.1,28.2,27.836558399999994,27.1735341,33.050000000000004,28.99334511183103,-1.266854424645551,7.256886388168976,908.6978275201807,98.70649205194638,638.481942213588
1.1,27.42,27.066611040000005,26.421925710000004,30.7375,26.956922997626073,-6.705653773997263,16.895528989885136,838.0980917419033,234.94429912765955,364.9167324005316
