β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
3.7,28.21,27.846429520000004,27.183170105,19.4125,16.500625,-3.154857496746059,8.361805288493459,545.7718590949294,133.472644456479,251.4145765509658
3.7,28.15,27.7872028,27.125354075,23.94375,20.3521875,-3.378960883097144,9.58478457664309,668.6277525562393,144.59939321341466,344.9612900915932
3.7,28.08,27.718104959999998,27.05790204,24.225,20.591250000000002,-3.476037752528036,10.070239863469759,677.3949957497842,149.73383743763108,349.93861652504785
3.7,28.14,27.777331679999996,27.115718070000003,24.587500000000002,20.899375000000003,-3.318606381998501,9.811751359604513,685.316708886581,152.57564350801871,367.33593758476627
3.7,28.12,27.757589439999997,27.096446060000005,25.05,21.2925,-3.5730487274189513,10.315804607985834,698.8722091019135,158.25999576041056,379.3453109451288
3.7,28.23,27.866171760000004,27.202442115000004,25.5,21.675,-3.568203576826795,10.438303298116502,714.5106564365482,162.5957338952824,388.5435744122602
3.7,36.66,36.18752592,35.32559433,26.0625,22.153125,-4.213958437817934,11.318872858608298,954.0055434356505,228.3746527971824,481.0332697530675
3.7,47.91,47.29253591999999,46.16609995499999,26.887500000000003,22.854375000000005,-4.0699071000000195,11.665185231866005,1290.7849464655183,312.4625232802456,657.6974215852778
3.7,49.64,49.00023968,47.83312882,27.8125,23.640625,-4.445286341937215,12.123853740002994,1374.2717371703047,343.92988580743906,638.1655249937858
3.7,44.98,44.40029776,43.34275049,28.39375,24.134687500000002,-5.0123335039262304,12.739768320528707,1256.805725408941,318.2635151284318,572.0446332730672
3.7,40.02,39.504222240000004,38.563292010000005,28.55,24.267500000000002,-5.039886595049611,12.676454573429647,1117.7858501888973,281.93209648103635,542.0241720415286
3.7,37.64,37.154895679999996,36.26992282,28.675,24.37375,-5.187057859234472,12.82343000086273,1052.8218230262767,270.9476324606391,521.8205157314756
3.7,31.39,30.985445680000005,30.247419694999998,29.106250000000003,24.7403125,-4.700965449034333,12.872192964825203,896.3761646353282,223.34445709132788,450.1631073993653
3.7,31.06,30.65969872,29.92943153,29.900000000000002,25.415000000000003,-5.145703342946464,13.080463154527228,905.5988354352913,229.73925556254002,445.5527975857067
3.7,30.12,29.731813439999996,29.023647060000002,30.5375,25.956875,-5.771419902580376,13.867663834482652,899.5376809596703,239.92539023145477,425.56653248361107
3.7,32.06,31.64681072,30.89303203,30.8625,26.233125,-5.861650714550757,13.972096883133414,962.9342624551277,246.7586040467267,457.61881332579725
3.7,31.63,31.22235255999999,30.478683815,31.212500000000002,26.530625,-5.894433756698463,14.486476192981664,964.8810311641315,252.6886026777174,450.4051608872649
3.7,38.13,37.63858056,36.742087065,31.69375,30.967358938312653,-4.719330712995319,3.3332019991873487,1164.0256456339002,135.19070341137132,712.013984652922
3.7,42.76,42.20890912,41.20355738,32.40625,27.5453125,-16.301643390446788,7.260620312499995,1235.0708652678427,412.5365812913221,52.472473017317476
3.7,39.96,39.44499552,38.50547598,33.31875,28.3209375,-2.123673307888299,7.599340500000004,1268.3959297264144,176.1635757068398,769.742807963738
3.7,30.58,30.18588496,29.466903289999994,34.03125,28.9265625,-1.7559066930503588,8.803203749999998,1005.6586112986481,124.3913952562927,670.5328708793941
3.7,28.7,28.330114400000003,27.655334349999997,34.06875,29.3635169932707,-1.8246926103937717,7.4171055067293,946.2517251866452,110.01300465182369,625.9572192575544
3.7,28.2,27.836558399999994,27.1735341,33.050000000000004,28.193796969084115,-0.5205825195292579,8.05643453091589,908.3895767438229,99.28528015911607,638.6753342994523
3.7,27.42,27.066611040000005,26.421925710000004,30.7375,26.126875000000002,-6.118295378080262,14.786988267241144,836.7793002108587,229.86332905318525,365.84020387061213
