β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
0.3,28.21,27.846429520000004,27.183170105,19.4125,22.324375,-7.287939015612093,8.892382248386472,550.557162162776,146.68727351307638,245.2523619165713
0.3,28.15,27.7872028,27.125354075,23.94375,27.5353125,-8.32894764409264,9.716608546610157,674.3934648662128,160.21888342371855,337.45209221251355
0.3,28.08,27.718104959999998,27.05790204,24.225,27.85875,-8.478440898081315,10.421014868121585,683.2875834333956,166.29334409726144,342.0033119540472
0.3,28.14,27.777331679999996,27.115718070000003,24.587500000000002,28.275625,-8.665640664708688,10.069497747547809,691.1884974045504,168.73149022780677,358.4145474976569
0.3,28.12,27.757589439999997,27.096446060000005,25.05,28.8075,-8.860545135520251,10.59419413728346,704.9083480346968,174.6674978755136,369.7857636984168
0.3,28.23,27.866171760000004,27.202442115000004,25.5,29.325,-9.166628279892116,10.76149415169268,720.6208097116914,179.47006384656805,378.51267840081556
0.3,36.66,36.18752592,35.32559433,26.0625,29.971875,-9.514173780991761,12.01052387352062,962.4527941784252,251.3989406423712,468.3004587156792
0.3,47.91,47.29253591999999,46.16609995499999,26.887500000000003,30.920625000000005,-9.755597078322822,12.218254397505792,1301.9608958644428,341.8335528150425,641.4642138511558
0.3,49.64,49.00023968,47.83312882,27.8125,31.984375,-9.96303189224491,13.098580268271437,1386.6967151595256,377.35522542315994,622.682707127393
0.3,44.98,44.40029776,43.34275049,28.39375,32.6528125,-10.942821231058527,13.93123098726813,1268.24614988377,352.96905760147064,555.870491728623
0.3,40.02,39.504222240000004,38.563292010000005,28.55,32.8325,-11.253824164057276,13.672830074716877,1127.8078731850374,312.95022112928376,525.3794568674351
0.3,37.64,37.154895679999996,36.26992282,28.675,32.97625,-11.061663276595743,13.933968141268931,1062.4998768455673,300.1317278797348,506.13767733757857
0.3,31.39,30.985445680000005,30.247419694999998,29.106250000000003,33.472187500000004,-10.896072819541565,13.684481736956258,904.3667030369786,246.99110605111403,437.12115266616405
0.3,31.06,30.65969872,29.92943153,29.900000000000002,34.385000000000005,-11.178310160098523,13.975287206679283,913.8640575198777,253.5295031724836,432.8988447505912
0.3,30.12,29.731813439999996,29.023647060000002,30.5375,35.118125,-11.981330989233834,15.109376814567888,907.8224888971197,264.18355321914595,412.65586318196625
0.3,32.06,31.64681072,30.89303203,30.8625,35.491875,-12.089362055521907,15.355599392546374,971.913196453796,274.9940370704369,443.0522837959319
0.3,31.63,31.22235255999999,30.478683815,31.212500000000002,35.894375000000004,-12.366430196043547,15.87918444613607,973.7730141559666,280.5894063195735,436.0824181240049
0.3,38.13,37.63858056,36.742087065,31.69375,36.447812500000005,-7.699852324216082,-2.147251562500003,1167.8394334198986,134.9242510361121,708.73053259588
0.3,42.76,42.20890912,41.20355738,32.40625,37.2671875,-22.308747644804356,-2.461254687500002,1242.2958275332592,405.32698636368923,32.56976602265016
0.3,39.96,39.44499552,38.50547598,33.31875,38.3165625,-10.079975539318436,-2.3962845,1274.5017131765335,175.8953059267944,756.7746520148257
0.3,30.58,30.18588496,29.466903289999994,34.03125,36.61207762309515,-7.898656520899214,1.1176886269048438,1009.2421983830044,121.45845779633075,661.0833355270462
0.3,28.7,28.330114400000003,27.655334349999997,34.06875,39.1790625,-9.190515848636604,-2.398440000000001,950.7088659831369,108.76449202978232,619.6244169619009
0.3,28.2,27.836558399999994,27.1735341,33.050000000000004,37.756388703034204,-7.870354430666221,-1.5061572030341992,912.5985970407799,97.38934420843175,629.786584547672
0.3,27.42,27.066611040000005,26.421925710000004,30.7375,35.348125,-11.908353769943725,16.460415827375165,844.6558270044003,252.261590786747,354.50109161751266
