β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
1.6,28.21,27.846429520000004,27.183170105,19.4125,16.500625,-3.134361500365208,9.105314071811007,546.0252257765493,134.74164926007316,251.30103525609096
1.6,28.15,27.7872028,27.125354075,23.94375,20.3521875,-3.359094647778202,10.328190369667011,668.8803378656328,145.93305520275123,344.8495442199667
1.6,28.08,27.718104959999998,27.05790204,24.225,20.591250000000002,-3.444188493935453,10.658746233027351,677.5997760483559,150.76501665725468,349.84734933203526
1.6,28.14,27.777331679999996,27.115718070000003,24.587500000000002,20.899375000000003,-3.3021234504785655,10.58369170939209,685.5775246732578,153.89011005602416,367.2181692864974
1.6,28.12,27.757589439999997,27.096446060000005,25.05,21.2925,-3.5571969377225137,11.249394165430461,699.1860675325939,159.90854576837737,379.21040392104493
1.6,28.23,27.866171760000004,27.202442115000004,25.5,21.675,-3.5518463226106243,11.237074005593023,714.78116873287,163.95824797926468,388.4189230882827
1.6,36.66,36.18752592,35.32559433,26.0625,22.153125,-4.189627284737749,12.306481982650709,954.4416550816732,230.6124742143142,480.8355528596075
1.6,47.91,47.29253591999999,46.16609995499999,26.887500000000003,22.854375000000005,-4.032680428913513,12.597012785019167,1291.3307352306276,315.03393656845014,657.4629451823168
1.6,49.64,49.00023968,47.83312882,27.8125,24.15584654433622,-4.864912512110777,13.029520920368876,1375.4863080007815,347.7146430854701,637.5559518434593
1.6,44.98,44.40029776,43.34275049,28.39375,24.134687500000002,-4.988520951565643,13.586569781869446,1257.2660831456478,320.6905913390766,571.836684338651
1.6,40.02,39.504222240000004,38.563292010000005,28.55,24.267500000000002,-5.015614878945819,13.421922859432469,1118.1479860075085,283.85472623503404,541.8620131976143
1.6,37.64,37.154895679999996,36.26992282,28.675,24.37375,-5.160054201680667,13.67685321973027,1053.2113999717008,273.0185766212743,521.6462530602394
1.6,31.39,30.985445680000005,30.247419694999998,29.106250000000003,24.7403125,-4.68249982501256,13.698002329181776,896.6877130752828,225.00134859621187,450.02848915310767
1.6,31.06,30.65969872,29.92943153,29.900000000000002,25.415000000000003,-5.123915987072442,14.009113363268446,905.9458721200824,231.57026201792013,445.39197926785886
1.6,30.12,29.731813439999996,29.023647060000002,30.5375,25.956875,-5.721948109912743,14.751269786488084,899.868068104022,241.56333555442518,425.409616011379
1.6,32.06,31.64681072,30.89303203,30.8625,26.233125,-5.815666168031953,14.802233454430038,963.264463169362,248.51138738696875,457.4693817740116
1.6,31.63,31.22235255999999,30.478683815,31.212500000000002,26.530625,-5.8420668630253,15.334130742537349,965.2156900727111,254.43293618728907,450.2594522846024
1.6,38.13,37.63858056,36.742087065,31.69375,35.15146827119534,-8.03057908891184,-0.8509073336953392,1166.473055384144,135.9596136897099,710.8725978742325
1.6,42.76,42.20890912,41.20355738,32.40625,27.5453125,-16.197753944561203,7.260620312499995,1235.1230879854372,412.06760255058987,52.449815426183925
1.6,39.96,39.44499552,38.50547598,33.31875,28.3209375,-2.1094435695888882,7.599340500000004,1268.402614285005,176.1342850587999,769.7400524333391
1.6,30.58,30.18588496,29.466903289999994,34.03125,28.9265625,-1.7495559289908622,8.803203749999998,1005.6608943401227,124.37934983582608,670.5316350078311
1.6,28.7,28.330114400000003,27.655334349999997,34.06875,30.38880879422175,-2.703308849749643,6.391813705778251,946.6804527310086,109.33780700317628,625.7626847387306
1.6,28.2,27.836558399999994,27.1735341,33.050000000000004,28.55610253425181,-0.8610502694617548,7.694128965748195,908.5284931591962,99.01277487895102,638.613494006658
1.6,27.42,27.066611040000005,26.421925710000004,30.7375,26.126875000000002,-6.055610995033288,16.029584278219524,837.2000477716412,231.97923352557237,365.65274510117973
