β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
1.9,28.21,27.846429520000004,27.183170105,19.4125,16.500625,-3.1453012437805548,8.868220957178403,545.9429707123844,134.3193079124303,251.34729785381384
1.9,28.15,27.7872028,27.125354075,23.94375,20.3521875,-3.3630488955943942,10.077475416659782,668.7960616227019,145.45657882386604,344.8952392824215
1.9,28.08,27.718104959999998,27.05790204,24.225,20.591250000000002,-3.455555588772561,10.428164328257992,677.5199083303403,150.34477069303787,349.89156287613287
1.9,28.14,27.777331679999996,27.115718070000003,24.587500000000002,20.899375000000003,-3.304735397307563,10.286561718915882,685.4783680006534,153.35456796743833,367.2728556269504
1.9,28.12,27.757589439999997,27.096446060000005,25.05,21.2925,-3.5643117553146295,11.01162663225457,699.1051163600495,159.46541307084973,379.2544099462189
1.9,28.23,27.866171760000004,27.202442115000004,25.5,21.675,-3.5555332190096687,10.924996004518192,714.6763774712182,163.39732351785273,388.47641502158893
1.9,36.66,36.18752592,35.32559433,26.0625,22.153125,-4.1945563158853085,11.954412606043213,954.2878009790614,229.7637197053033,480.9208114497044
1.9,47.91,47.29253591999999,46.16609995499999,26.887500000000003,22.854375000000005,-4.043126294040065,12.357349165622761,1291.1898690713506,314.3334966192344,657.540505816137
1.9,49.64,49.00023968,47.83312882,27.8125,23.640625,-4.4211392160526755,12.88365718325783,1374.7292157817776,346.09016838593584,637.9844538414574
1.9,44.98,44.40029776,43.34275049,28.39375,24.134687500000002,-4.989694172485869,13.277922141782057,1257.102258042774,319.754593806134,571.9268317774657
1.9,40.02,39.504222240000004,38.563292010000005,28.55,24.267500000000002,-5.016572449484592,13.145712362645051,1118.0175881008395,283.10249408617784,541.9346078617613
1.9,37.64,37.154895679999996,36.26992282,28.675,24.37375,-5.163151276387345,13.403468522216324,1053.0890605393506,272.31789846351495,521.7126842322326
1.9,31.39,30.985445680000005,30.247419694999998,29.106250000000003,24.7403125,-4.6978081614422385,13.46142161673891,896.5947627435802,224.51993963708486,450.0794043368428
1.9,31.06,30.65969872,29.92943153,29.900000000000002,25.415000000000003,-5.126098601514372,13.610134064113046,905.7993944283936,230.74405301916542,445.47438904188346
1.9,30.12,29.731813439999996,29.023647060000002,30.5375,25.956875,-5.736970428624756,14.332530335161525,899.714480352787,240.75049695352445,425.49357129429853
1.9,32.06,31.64681072,30.89303203,30.8625,26.233125,-5.817243380605181,14.47380064148544,963.1400859070011,247.76893706165498,457.53869302943684
1.9,31.63,31.22235255999999,30.478683815,31.212500000000002,26.530625,-5.860065505085154,15.076738858389456,965.1132904092062,253.8863543354504,450.3173724609105
1.9,38.13,37.63858056,36.742087065,31.69375,33.85971410008298,-7.095118120064509,0.4408468374170198,1165.6785550036866,135.48304286474186,711.3377994339854
1.9,42.76,42.20890912,41.20355738,32.40625,27.5453125,-16.21777502361599,7.260620312499995,1235.113023872105,412.15775904365785,52.45559220113931
1.9,39.96,39.44499552,38.50547598,33.31875,28.3209375,-2.1130239488947953,7.599340500000004,1268.4009323668458,176.14164314177836,769.7410189334923
1.9,30.58,30.18588496,29.466903289999994,34.03125,28.9265625,-1.7544410448566827,8.803203749999998,1005.659138185741,124.38861357159037,670.5326359515407
1.9,28.7,28.330114400000003,27.655334349999997,34.06875,30.104045535364065,-2.46280816086729,6.6765769646359345,946.5601891525575,109.51518453090502,625.8315654374541
1.9,28.2,27.836558399999994,27.1735341,33.050000000000004,28.447329947746063,-0.7607045147863047,7.802901552253942,908.4861670791827,99.09488937566225,638.6376397190844
1.9,27.42,27.066611040000005,26.421925710000004,30.7375,26.126875000000002,-6.066619130507034,15.591312727071108,837.0552257601248,231.1795748853539,365.73314898227363
