β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
0.9,28.21,27.846429520000004,27.183170105,19.4125,18.435324389686052,-4.745059534389016,9.474154259500903,547.5999959933808,138.83470985801952,249.88714896034622
0.9,28.15,27.7872028,27.125354075,23.94375,23.001177682930948,-5.519507967132711,10.221116452136782,670.8442480935951,150.20528885374236,343.07001286402465
0.9,28.08,27.718104959999998,27.05790204,24.225,23.007202964737452,-5.39422484362807,10.815821532136836,679.4772575845494,155.1140171327173,348.17092559338835
0.9,28.14,27.777331679999996,27.115718070000003,24.587500000000002,22.143135441695016,-4.318624534127672,11.381503119545512,686.7791419867592,157.50437374812714,366.1257587859244
0.9,28.12,27.757589439999997,27.096446060000005,25.05,21.96132986790415,-4.087332804456665,12.364901636470936,700.0641582595904,163.36947240613256,378.3752775545297
0.9,28.23,27.866171760000004,27.202442115000004,25.5,22.113099104521815,-3.9035981344948425,12.59301609416893,715.5645963500634,167.48005551790897,387.68204345720704
0.9,36.66,36.18752592,35.32559433,26.0625,23.219718562329064,-5.013284964142766,13.642892259723684,956.0859024097231,236.60939319429548,479.30457602673874
0.9,47.91,47.29253591999999,46.16609995499999,26.887500000000003,24.575829690204014,-5.412612858841146,13.580456483644252,1294.1094705590117,322.9824992615045,654.969714141954
0.9,49.64,49.00023968,47.83312882,27.8125,27.533493477365287,-7.587320261902423,13.33742808493516,1380.1802859730408,359.44883211312515,633.4374316015189
0.9,44.98,44.40029776,43.34275049,28.39375,26.13305980764235,-6.632544000976935,14.70937276011097,1260.2623097954656,330.2193998328372,569.0062682235477
0.9,40.02,39.504222240000004,38.563292010000005,28.55,24.501758601751106,-5.169984491694207,15.304835596098117,1119.3024516239816,290.25998337900717,540.7896659220928
0.9,37.64,37.154895679999996,36.26992282,28.675,24.9586441052063,-5.587390513360958,15.229612314870021,1054.5107343476539,278.7918745910839,520.4341724379818
0.9,31.39,30.985445680000005,30.247419694999998,29.106250000000003,25.398454749439885,-5.218829672549422,14.726388647282866,897.621268678063,228.55167337100622,449.1518162285073
0.9,31.06,30.65969872,29.92943153,29.900000000000002,27.178249260481252,-6.558653363870713,14.791136042804183,907.7010180748124,236.61599414464786,443.74645722060234
0.9,30.12,29.731813439999996,29.023647060000002,30.5375,26.508615478922074,-6.127794353923155,16.534878009210924,900.9608127566885,246.54769082170657,424.3819937801959
0.9,32.06,31.64681072,30.89303203,30.8625,26.45410497878302,-5.928758798279057,16.826268434007844,964.242553536985,254.09607122414403,456.5772093787111
0.9,31.63,31.22235255999999,30.478683815,31.212500000000002,27.171315348124374,-6.3451442967331975,17.19506924976047,966.458226660293,260.35729565008563,449.10388395994016
0.9,38.13,37.63858056,36.742087065,31.69375,36.447812500000005,-8.92156066314619,-2.147251562500003,1167.2918066305795,136.73838759866757,710.2680806948495
0.9,42.76,42.20890912,41.20355738,32.40625,27.5453125,-15.821202310426921,7.260620312499995,1235.3123714057256,410.3918841193892,52.271908009259164
0.9,39.96,39.44499552,38.50547598,33.31875,29.3173372022597,-3.0220234118252236,6.6029407977403025,1268.9551397937055,175.48471327512416,769.2206416735062
0.9,30.58,30.18588496,29.466903289999994,34.03125,28.9265625,-1.7371193349452632,8.803203749999998,1005.6653651817007,124.35582046950123,670.5277749981788
0.9,28.7,28.330114400000003,27.655334349999997,34.06875,32.869051856059286,-4.8596967217732825,3.9115706439407134,947.70712443467,108.44957050816348,624.84008605531
0.9,28.2,27.836558399999994,27.1735341,33.050000000000004,29.520234721911798,-1.748758012813994,6.729996778088207,908.9042345359358,98.37045685464437,638.2710643700032
0.9,27.42,27.066611040000005,26.421925710000004,30.7375,28.14198468462955,-7.637707967458154,17.466769556442546,839.1645657177011,238.39073185276396,363.8397445755715
