β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
2.5,28.21,27.846429520000004,27.183170105,19.4125,16.500625,-3.1483355465971856,8.6049534007299,545.8546571046896,133.86354405101645,251.38646750343113
2.5,28.15,27.7872028,27.125354075,23.94375,20.3521875,-3.375882077169178,9.852729658270393,668.7174409634508,145.06301162768173,344.93116115765275
2.5,28.08,27.718104959999998,27.05790204,24.225,20.591250000000002,-3.4717075124011907,10.277868783570746,677.4649637780359,150.09403819771748,349.9156403676984
2.5,28.14,27.777331679999996,27.115718070000003,24.587500000000002,20.899375000000003,-3.310413987783283,10.081385986970977,685.408615955933,153.00786731783205,367.3043464603212
2.5,28.12,27.757589439999997,27.096446060000005,25.05,21.2925,-3.569829026313847,10.751531540456854,699.0173124323948,158.99900260269033,379.2944609103765
2.5,28.23,27.866171760000004,27.202442115000004,25.5,21.675,-3.564825295549882,10.645338899452703,714.580485402353,162.92987645629123,388.51903990023135
2.5,36.66,36.18752592,35.32559433,26.0625,22.153125,-4.198355334652181,11.562340824149132,954.1171942047371,228.87245384868856,480.9952072997597
2.5,47.91,47.29253591999999,46.16609995499999,26.887500000000003,22.854375000000005,-4.0481922740607,12.067351717065627,1291.0236840423975,313.5067038528625,657.6161090996987
2.5,49.64,49.00023968,47.83312882,27.8125,23.640625,-4.428265183165937,12.540046272300353,1374.5245413720784,345.0698659010187,638.0781347997952
2.5,44.98,44.40029776,43.34275049,28.39375,24.134687500000002,-5.000715074489282,13.008808918189246,1256.954130502895,318.99285235043266,571.9931516914372
2.5,40.02,39.504222240000004,38.563292010000005,28.55,24.267500000000002,-5.036534204882461,12.947039718680577,1117.9147282430004,282.61606779274996,541.9794401306935
2.5,37.64,37.154895679999996,36.26992282,28.675,24.37375,-5.180346741704576,13.102258330163172,1052.948170356729,271.6000002697595,521.777392112438
2.5,31.39,30.985445680000005,30.247419694999998,29.106250000000003,24.7403125,-4.6996259432975025,13.191671816423835,896.4945507774178,223.96962460130322,450.122860274628
2.5,31.06,30.65969872,29.92943153,29.900000000000002,25.415000000000003,-5.139005722863306,13.326348710736967,905.6910620384875,230.19920820819888,445.5218638005711
2.5,30.12,29.731813439999996,29.023647060000002,30.5375,25.956875,-5.741716566884298,14.003544030678999,899.5963113048542,240.13297088342927,425.5471506595537
2.5,32.06,31.64681072,30.89303203,30.8625,26.233125,-5.839641440924627,14.269430150772031,963.0546192563356,247.3556495435979,457.5780829318081
2.5,31.63,31.22235255999999,30.478683815,31.212500000000002,26.530625,-5.8691899768106905,14.844671533421186,965.0236070088305,253.39783357152874,450.3578752094071
2.5,38.13,37.63858056,36.742087065,31.69375,32.350345615798325,-5.924764807415041,1.9502153217016769,1164.7848595403473,135.24891716384542,711.7587850874893
2.5,42.76,42.20890912,41.20355738,32.40625,27.5453125,-16.251206465070435,7.260620312499995,1235.0962186931865,412.3085407545435,52.46362327893202
2.5,39.96,39.44499552,38.50547598,33.31875,28.3209375,-2.1157647619284585,7.599340500000004,1268.3996448431456,176.1472811876718,769.7415983383344
2.5,30.58,30.18588496,29.466903289999994,34.03125,28.9265625,-1.7554781291196702,8.803203749999998,1005.6587653634533,124.39058176359698,670.5328159447895
2.5,28.7,28.330114400000003,27.655334349999997,34.06875,29.698525190140273,-2.1148749456075286,7.082097309859726,946.390763693134,109.7799008889514,625.910987928451
2.5,28.2,27.836558399999994,27.1735341,33.050000000000004,28.321518617596254,-0.6417330055159489,7.928712882403751,908.4381745243296,99.18824953854936,638.6598456580367
2.5,27.42,27.066611040000005,26.421925710000004,30.7375,26.126875000000002,-6.096020063726224,15.229534515813084,836.9291320322017,230.57812749721785,365.7897950217277
