β,p_DA,p_15,p_ID,q_FC,q_DA,q_15_neg,q_15_pos,R_exp,R_STD,CVaR
0.5,28.21,27.846429520000004,27.183170105,19.4125,23.776041702202903,-8.79807983444232,7.016248899205612,550.9247878183215,145.30664461716106,244.8759481309041
0.5,28.15,27.7872028,27.125354075,23.94375,29.736128178466434,-10.6711714756822,7.0701925514367225,674.9976592284158,158.92840469770942,336.7548974667947
0.5,28.08,27.718104959999998,27.05790204,24.225,28.97386111699862,-9.954975080167353,8.616931142138796,683.3443994700975,164.19277857168473,342.3042735688672
0.5,28.14,27.777331679999996,27.115718070000003,24.587500000000002,26.738928879883478,-7.853459060462058,10.376604984119123,689.984755702117,165.41079373403312,361.24219993881997
0.5,28.12,27.757589439999997,27.096446060000005,25.05,26.93750873054812,-7.889652375507142,11.130459244440512,703.492534826331,171.24070528227438,373.13801286972165
0.5,28.23,27.866171760000004,27.202442115000004,25.5,26.965509270579354,-7.627787193780668,11.574048042007572,718.9766416845699,175.38281883722533,382.3769734664641
0.5,36.66,36.18752592,35.32559433,26.0625,29.062062522139122,-9.462602061348235,11.73050695605913,961.1402831830394,247.37652465121758,471.4945510861917
0.5,47.91,47.29253591999999,46.16609995499999,26.887500000000003,29.971960280594722,-9.519021181608814,11.957936347408339,1300.2931474098532,336.3959411423039,645.4984902317269
0.5,49.64,49.00023968,47.83312882,27.8125,33.98299182833763,-12.504681146007982,10.451484624454356,1387.2800380466442,374.2950923756228,622.6241327329591
0.5,44.98,44.40029776,43.34275049,28.39375,32.754049854143155,-11.628152559395488,12.696096972028258,1267.3964092516198,347.46781783146497,558.2076639323882
0.5,40.02,39.504222240000004,38.563292010000005,28.55,29.87489227527673,-9.284002378243375,14.760182542953473,1124.9377962181543,305.7393400289575,532.0443148219696
0.5,37.64,37.154895679999996,36.26992282,28.675,30.74060034271694,-9.955124572028422,14.446025662248971,1060.1530711331027,293.926518758135,511.66744880016756
0.5,31.39,30.985445680000005,30.247419694999998,29.106250000000003,30.98947624442969,-9.506972163424422,14.250303690381648,902.2513978956156,241.17093462231261,442.0652625133812
0.5,31.06,30.65969872,29.92943153,29.900000000000002,32.9097271953716,-10.687595140653148,13.89050939309746,912.3443819136378,248.72809828840468,436.52285480081247
0.5,30.12,29.731813439999996,29.023647060000002,30.5375,34.13691731341442,-11.88532518796012,14.62764145565588,906.6101586129353,259.8136425118239,415.58374865091884
0.5,32.06,31.64681072,30.89303203,30.8625,33.108027622830654,-10.943403652152204,15.964644523227594,969.792765051692,269.4879177298527,448.02560228298887
0.5,31.63,31.22235255999999,30.478683815,31.212500000000002,33.26935238277742,-10.891976162973585,16.462020783198753,971.5157544045959,274.19116855488824,441.35245761285677
0.5,38.13,37.63858056,36.742087065,31.69375,42.32145241080049,-12.599489431066472,-8.020891473300487,1171.1624478445522,144.73035465251138,704.4742567999933
0.5,42.76,42.20890912,41.20355738,32.40625,21.0640625,-10.118131341079762,13.741870312499998,1231.3494418184764,412.9486094292619,62.82802407590792
0.5,39.96,39.44499552,38.50547598,33.31875,32.41456663426382,-5.56581621059301,3.5057113657361825,1270.8102090923142,174.0706229075409,766.2156956242758
0.5,30.58,30.18588496,29.466903289999994,34.03125,30.06127789799566,-2.754783242761917,7.6684883520043385,1006.1546525241129,123.53847669509884,669.672393286729
0.5,28.7,28.330114400000003,27.655334349999997,34.06875,37.918911059575784,-8.6159719800477,-1.1382885595757841,950.0114369557028,108.59102891990473,621.2332814089337
0.5,28.2,27.836558399999994,27.1735341,33.050000000000004,32.87347549705605,-4.492965944657044,3.3767560029439565,910.3248435157429,96.8598271293927,635.9958050268884
0.5,27.42,27.066611040000005,26.421925710000004,30.7375,34.80030289629427,-12.477132786592463,15.722089835738497,843.6877241353925,249.05399460132682,356.9573390775744
